challenge_id,display_name,normalized_name,category_primary,region_primary,region_scope,household_facing,coordination_surface,stress_pattern,public_coordination_strength,natural_buyer_clarity,capture_risk_level,provisional_expected_outcome,provisional_tier_if_selected,why_it_is_in_set,notes
inst_0001,Harvard,harvard,education_brand,us,global,no,education|institution,elite_education,medium_high,high,high,likely_selected,B,world-famous institutional name with a highly obvious natural buyer and substantial resale pressure,tests whether elite education belongs in the protected lane
inst_0002,Stanford,stanford,education_brand,us,global,no,education|institution,elite_education,medium_high,high,high,likely_selected,B,world-famous institutional name with clear buyer and strong salience beyond its core audience,good counterpart to harvard
inst_0003,McKinsey,mckinsey,professional_services,global,global,no,professional_services,professional_services,medium_high,high,high,likely_selected,B,prestige advisory brand with very clear buyer and obvious capture-risk economics,good flagship consultancy case
inst_0004,Deloitte,deloitte,professional_services,global,global,no,professional_services,professional_services,medium_high,high,high,likely_selected,B,large global professional-services brand with obvious buyer and wide institutional salience,tests big-firm advisory names
inst_0005,Accenture,accenture,professional_services,global,global,no,professional_services,professional_services,medium_high,high,high,likely_selected,B,public-company consultancy brand with clear buyer and low token ambiguity,good example of institutional capture risk plus market scale
inst_0006,Pfizer,pfizer,pharma_biotech,global,global,no,healthcare|pharma,pharma_biotech,medium_high,high,high,likely_selected,B,major pharma brand with clear buyer and obvious real-world coordination importance,tests healthcare names with direct public salience
inst_0007,Moderna,moderna,pharma_biotech,global,global,no,healthcare|pharma,pharma_biotech,medium,high,high,likely_selected,B,clear biotech buyer and strong public recognition despite newer history,good case where recent prominence may still justify protection
inst_0008,Nasdaq,nasdaq,financial_infrastructure,global,global,no,financial_services|markets,financial_infrastructure,medium_high,high,high,likely_selected,B,major market-infrastructure identity with a very obvious buyer and costly misallocation,tests exchanges and market plumbing
inst_0009,Bloomberg,bloomberg,media_information,global,global,no,media|financial_services,financial_infrastructure,high,high,high,likely_selected,B,strong institutional media and market-data brand with clear buyer and high coordination importance,good hybrid media-finance example
inst_0010,Reuters,reuters,media_information,global,global,no,media|news,media_information,medium_high,high,high,likely_selected,B,globally recognized information brand with clear buyer and low token ambiguity,tests high-trust information brands
inst_0011,BlackRock,blackrock,financial_infrastructure,global,global,no,financial_services|asset_management,financial_infrastructure,medium_high,high,high,likely_selected,B,global financial brand with obvious buyer and outsized capital scale,good test of institutional capture-risk amplification
inst_0012,MongoDB,mongodb,developer_infrastructure,global,global,no,software|developer,developer_infrastructure,medium,high,high,likely_selected,B,unique public-company developer brand with clear buyer and meaningful resale pressure,good dev-infra analog to asana and datadog
inst_0013,MIT,mit,education_brand,us,global,no,education|institution,elite_education,medium,medium,medium,arguable,B,institution is extremely strong but the token is short and acronym-like,tests token ambiguity against buyer clarity
inst_0014,Oxford,oxford,education_brand,uk,global,no,education|institution,elite_education,medium,medium,medium,arguable,B,institution is world-famous but the token is also a place and a publishing brand,good place-name ambiguity case
inst_0015,Bain,bain,professional_services,global,global,no,professional_services,professional_services,medium,medium,medium,arguable,B,strong firm but exact token overlaps with Bain Capital and a common surname,tests intra-elite brand ambiguity
inst_0016,BCG,bcg,professional_services,global,global,no,professional_services,professional_services,low_medium,medium,medium,arguable,B,important consulting brand but acronym form weakens token clarity,good consultancy acronym case
inst_0017,KPMG,kpmg,professional_services,global,global,no,professional_services,professional_services,low_medium,medium,medium,arguable,B,large advisory brand with clear buyer but lower public salience and acronym-heavy token,tests big-firm but thin-public-presence logic
inst_0018,Novartis,novartis,pharma_biotech,global,global,no,healthcare|pharma,pharma_biotech,medium,high,medium,arguable,B,large pharma brand with clear buyer but less everyday public coordination than pfizer,good lower selected-edge healthcare case
inst_0019,Merck,merck,pharma_biotech,global,global,no,healthcare|pharma,pharma_biotech,medium,medium,medium,arguable,B,powerful pharma brand but exact token is complicated by multiple major entities,tests cross-entity ambiguity
inst_0020,CME,cme,financial_infrastructure,us,global,no,financial_services|markets,financial_infrastructure,low_medium,medium,medium,arguable,B,important exchange operator but acronym token is thin outside finance audiences,good institutional-infrastructure boundary case
inst_0021,Economist,economist,media_information,uk,global,no,media|news,media_information,medium,medium,medium,arguable,B,strong publication brand but normalized token is a common profession word,tests media prestige against genericity
inst_0022,Databricks,databricks,developer_infrastructure,global,global,no,software|data,developer_infrastructure,medium,high,medium,arguable,B,large and obvious buyer but still less culturally fixed than mongodb or bloomberg,good modern infra-company boundary case
inst_0023,Vercel,vercel,developer_infrastructure,global,global,no,software|developer,developer_infrastructure,low_medium,high,medium,arguable,B,clear buyer and growing brand but narrower audience than more established enterprise brands,good lower-edge developer-infra case
inst_0024,HashiCorp,hashicorp,developer_infrastructure,global,global,no,software|developer,developer_infrastructure,low_medium,high,medium,arguable,B,clear buyer and distinctive token but limited public coordination outside software circles,tests enterprise buyer logic
inst_0025,Cambridge,cambridge,education_brand,uk,global,no,education|institution,elite_education,medium,low_medium,low_medium,likely_not_selected,,world-famous place and institutional cluster but exact token is too broad and socially overloaded,good example of institutional fame not being enough
inst_0026,Wharton,wharton,education_brand,us,national,no,education|institution,legal_or_surname_brand,low_medium,medium,low_medium,likely_not_selected,,prestigious school but token is narrower and more surname-like than harvard or stanford,tests whether prestige alone can be insufficient
inst_0027,Cooley,cooley,legal_services,us,multi_region,no,professional_services,legal_or_surname_brand,low,medium,low,likely_not_selected,,real law-firm brand but exact token is too surname-like and too narrow for protocol special-casing,good professional-surname boundary case
inst_0028,Latham,latham,legal_services,us,multi_region,no,professional_services,legal_or_surname_brand,low,medium,low,likely_not_selected,,important law-firm brand but token ambiguity and narrower public salience weaken the case,tests legal-brand lower edge
inst_0029,Fidelity,fidelity,financial_infrastructure,us,multi_region,no,financial_services|asset_management,financial_infrastructure,medium,medium,low_medium,likely_not_selected,,large financial institution exists but normalized token is a broad common word with many uses,good generic-word institutional case
inst_0030,Apollo,apollo,financial_infrastructure,us,global,no,financial_services|asset_management,financial_infrastructure,medium,low_medium,low_medium,likely_not_selected,,major institution exists but token is too broad and shared across many contexts,tests whether giant buyer still loses to genericity
inst_0031,Gilead,gilead,pharma_biotech,global,global,no,healthcare|pharma,pharma_biotech,low_medium,medium,low_medium,likely_not_selected,,real biotech brand but token is semantically broad enough that special-casing feels weaker,good pharma ambiguity case
inst_0032,Elastic,elastic,developer_infrastructure,global,global,no,software|developer,developer_infrastructure,low,medium,low,likely_not_selected,,strong software company but token is a common adjective and not clearly ownable in the same way as mongodb,good generic developer-brand case
inst_0033,Netlify,netlify,developer_infrastructure,global,global,no,software|developer,developer_infrastructure,low,high,low,likely_not_selected,,real developer platform but probably too narrow and replaceable for overlay treatment,good test of lower developer-platform bar
inst_0034,Docker,docker,developer_infrastructure,global,global,no,software|developer,developer_infrastructure,medium,medium,low_medium,likely_not_selected,,brand is important but token is an ordinary word and may be too socially broad for special-casing,good famous-common-word infrastructure case
inst_0035,Nature,nature,media_information,global,global,no,media|publishing,media_information,medium,medium,low_medium,likely_not_selected,,important scientific publication but the token is a universal common noun,tests publication prestige against extreme genericity
inst_0036,Cell,cell,media_information,global,global,no,media|publishing,media_information,low_medium,medium,low,likely_not_selected,,high-status journal exists but token is too broad and scientifically overloaded for protocol special-casing,good edge case for narrow but prestigious media brands
