candidate_id,normalized_name,display_name,proposed_tier,review_confidence,sources_present,review_reason,review_flags
cand_0001,apple,Apple,S+,high,BZ25|IB24|BF25,repeated_top_global_brand_placement,
cand_0002,google,Google,S+,high,BZ25|IB24|BF25|SW26,clear_global_name_with_strong_multi_context_evidence,
cand_0003,microsoft,Microsoft,S+,high,BZ25|IB24|BF25|SW26,clear_global_name_with_repeated_top_placements,
cand_0004,amazon,Amazon,S+,high,BZ25|IB24|BF25|SW26,clear_global_name_with_multi_context_salience,
cand_0005,facebook,Facebook,S,high,BZ25|IB24|SW26,globally_obvious_consumer_platform,
cand_0006,instagram,Instagram,S,high,BZ25|IB24|SW26,globally_obvious_consumer_platform,
cand_0007,youtube,YouTube,S,high,IB24|SW26,globally_obvious_media_platform,
cand_0008,nvidia,NVIDIA,S,medium,BZ25|BF25,clear_top_tier_technology_name,product_power_debate
cand_0009,cocacola,Coca-Cola,S,medium,IB24,legacy_household_brand_clears_global_obviousness_bar,source_bias|digital_heavy
cand_0010,mcdonalds,McDonald’s,S,medium,BZ25|IB24,clear_global_consumer_brand_identity,
cand_0011,samsung,Samsung,A,medium,IB24|SW26,internationally_important_consumer_brand,
cand_0012,walmart,Walmart,A,medium,BF25,clear_international_consumer_coordination_name,source_thin
cand_0013,visa,Visa,A,medium,BZ25,internationally_important_payment_coordination_name,source_thin
cand_0015,tiktok,TikTok,A,medium,SW26,internationally_important_live_consumer_platform,source_thin
cand_0017,whatsapp,WhatsApp,A,medium,SW26,internationally_important_communications_name,source_thin
cand_0018,netflix,Netflix,A,medium,SW26,internationally_important_media_service,source_thin
cand_0019,nike,Nike,A,medium,IB24,internationally_important_consumer_brand,source_bias|digital_heavy
cand_0020,toyota,Toyota,A,medium,IB24,internationally_important_consumer_brand,
cand_0021,disney,Disney,A,medium,IB24,internationally_important_household_name,source_bias|digital_heavy
