challenge_id,display_name,normalized_name,category_primary,region_primary,region_scope,household_facing,coordination_surface,stress_pattern,public_coordination_strength,natural_buyer_clarity,capture_risk_level,provisional_expected_outcome,provisional_tier_if_selected,why_it_is_in_set,notes
chal_0001,Datadog,datadog,enterprise_software,global,global,no,software|enterprise,unique_mid_public_company,medium,high,high,likely_selected,B,public_company_with_clear_natural_buyer_and_obvious_resale_risk,good example of the lower selected edge for unique enterprise brands
chal_0002,Cloudflare,cloudflare,internet_infrastructure,global,global,no,web|infrastructure,unique_mid_public_company,medium_high,high,high,likely_selected,B,important internet identity with clear natural buyer and broad coordination surface,sits between enterprise and public internet utility
chal_0003,Stripe,stripe,payments,global,global,no,payments|developer,unique_mid_public_company,high,high,high,likely_selected,A,major payment and developer identity that feels too easy to capture cheaply,tests whether payment coordination should move names up
chal_0004,Shopify,shopify,commerce_platform,global,global,yes,web|retail,unique_mid_public_company,medium_high,high,high,likely_selected,B,large commerce brand with clear natural buyer and strong resale pressure,good test for midband internet-company names
chal_0005,DoorDash,doordash,consumer_service,us,multi_region,yes,retail|transport,consumer_service_midband,medium_high,high,high,likely_selected,B,large consumer service with clear natural buyer and public coordination value,tests whether strong national consumer names clear the bar
chal_0006,Canva,canva,software_platform,global,global,yes,app|design,consumer_service_midband,medium_high,high,high,likely_selected,B,globally visible product brand with obvious buyer and strong user coordination,not S tier obvious but likely should not be cheap to capture
chal_0007,Coinbase,coinbase,financial_platform,us,multi_region,yes,payments|web,consumer_service_midband,medium_high,high,high,likely_selected,B,major financial platform identity with clear natural buyer and nontrivial coordination cost,also stress-tests finance-specific expectations
chal_0008,Chick-fil-A,chickfila,consumer_brand,us,national,yes,retail|restaurant,regional_household_brand,medium,high,high,likely_selected,B,regionally obvious household brand with strong natural buyer clarity,good test for B-tier consumer names
chal_0009,Trader Joe's,traderjoes,consumer_retail,us,national,yes,retail|grocery,regional_household_brand,medium,high,high,likely_selected,B,regionally obvious retail destination that many people would expect to resolve correctly,tests national rather than global obviousness
chal_0010,Tim Hortons,timhortons,consumer_brand,canada,multi_region,yes,retail|restaurant,regional_household_brand,medium,high,high,likely_selected,B,household-facing brand with strong regional obviousness,good non-US regional sanity check
chal_0011,Mercado Libre,mercadolibre,commerce_platform,latin_america,multi_region,yes,web|retail,regional_household_brand,medium_high,high,high,likely_selected,B,strong regional platform with clear natural buyer and meaningful coordination value,important counterweight to US-heavy source bias
chal_0012,Expedia,expedia,travel_service,global,global,yes,web|travel,consumer_service_midband,medium,high,high,likely_selected,B,well-known travel service with clear buyer and resale pressure,helps test public-facing but not universal platform names
chal_0013,DigitalOcean,digitalocean,cloud_platform,global,global,no,web|infrastructure,enterprise_saas_boundary,medium,high,medium_high,arguable,B,clear enterprise brand with natural buyer but less public coordination than cloudflare,good comparison case for datadog and cloudflare
chal_0014,Eventbrite,eventbrite,events_platform,global,multi_region,yes,web|events,consumer_service_midband,medium,high,medium_high,arguable,B,real consumer-facing brand but less obviously premium than larger platforms,paired boundary case with digitalocean
chal_0015,Xero,xero,financial_software,australia,multi_region,no,software|financial,enterprise_saas_boundary,low_medium,high,medium_high,arguable,B,strong business software brand with clear buyer but thinner public coordination story,tests international enterprise capture risk
chal_0016,Asana,asana,collaboration_software,global,global,no,software|productivity,enterprise_saas_boundary,medium,high,high,likely_selected,B,public-company software brand with clear buyer and enough financial upside that cheap capture feels too easy,good example of capture-risk outrunning household salience
chal_0017,Miro,miro,collaboration_software,global,global,no,software|productivity,enterprise_saas_boundary,low_medium,high,medium,arguable,B,meaningful collaboration brand but not obviously special-case-worthy,helps test enterprise brand depth
chal_0018,Typeform,typeform,software_platform,global,global,no,web|software,enterprise_saas_boundary,low_medium,high,medium,arguable,B,recognizable product brand with clear buyer and moderate capture risk,tests lower public-coordination software
chal_0019,Box,box,software_platform,global,global,no,web|storage,generic_word_brand,low_medium,medium,medium,arguable,B,known software brand but normalized name is also a broad common word,generic-word ambiguity makes this useful
chal_0020,Tripadvisor,tripadvisor,travel_service,global,global,yes,web|travel,consumer_service_midband,medium,high,medium,arguable,B,public-facing service with meaningful travel coordination but less universal salience,good travel-sector comparator
chal_0021,DeepL,deepl,ai_service,europe,multi_region,yes,app|translation,consumer_service_midband,medium,high,medium,arguable,B,clear product brand with strong user recognition but less established than older majors,tests newer internationally recognized service names
chal_0022,Squarespace,squarespace,web_services,us,multi_region,yes,web|software,consumer_service_midband,medium,high,medium,arguable,B,consumer-facing internet brand with obvious buyer but debatable overlay necessity,good public-company boundary case
chal_0023,VRBO,vrbo,travel_service,us,multi_region,yes,web|travel,consumer_service_midband,medium,high,medium,arguable,B,real consumer coordination name but less universal than the largest travel brands,paired with expedia and tripadvisor
