challenge_id,display_name,normalized_name,category_primary,region_primary,region_scope,household_facing,coordination_surface,stress_pattern,public_coordination_strength,natural_buyer_clarity,capture_risk_level,provisional_expected_outcome,provisional_tier_if_selected,why_it_is_in_set,notes
pubfig_0001,Taylor Swift,taylorswift,public_figure_music,us,global,yes,media|music|public_identity,full_public_name,high,high,high,likely_selected,B,full public name with a singular dominant referent and obvious long-run operator,good benchmark for person-name overlay cases
pubfig_0002,Kanye West,kanyewest,public_figure_music,us,global,yes,media|music|public_identity,full_public_name,high,high,high,likely_selected,B,full public name with a dominant referent and clear hostage-risk if cheaply captured,direct counterpart to kanye mononym case
pubfig_0003,Elon Musk,elonmusk,public_figure_business,us,global,yes,media|business|public_identity,full_public_name,high,high,high,likely_selected,B,global public figure with clear referent and strong likely willingness to hold long-term,tests founder-name identity coordination
pubfig_0004,Oprah,oprah,public_figure_media,us,global,yes,media|public_identity,distinctive_mononym,high,high,high,likely_selected,B,rare mononym that is distinctive enough to behave almost like a unique full-name identifier,good example that some mononyms can still clear
pubfig_0005,MrBeast,mrbeast,public_figure_creator,us,global,yes,video|creator|public_identity,creator_brand,high,high,high,likely_selected,B,creator-brand token is highly distinctive and already coordinated on by a massive audience,good test of creator-native identities
pubfig_0006,Cristiano Ronaldo,cristianoronaldo,public_figure_sports,global,global,yes,sports|public_identity,athlete_full_name,high,high,high,likely_selected,B,globally obvious athlete identity with a singular referent and strong long-run operator fit,tests athlete full-name cases
pubfig_0007,Kanye,kanye,public_figure_music,us,global,yes,media|music|public_identity,mononym_pressure_test,high,medium_high,medium,arguable,B,dominant referent is strong in practice but single-name form is still weaker and more contestable than full-name form,good direct comparison to kanyewest
pubfig_0008,Beyonce,beyonce,public_figure_music,us,global,yes,media|music|public_identity,mononym_pressure_test,high,medium_high,medium,arguable,B,extremely strong public referent but mononym and normalization issues make the exact token a useful stress test,good stage-name ambiguity case
pubfig_0009,Rihanna,rihanna,public_figure_music,global,global,yes,media|music|public_identity,mononym_pressure_test,medium_high,medium_high,medium,arguable,B,strong global referent but still a first-name token rather than a full-name identity,good lower-edge distinctive mononym case
pubfig_0010,Drake,drake,public_figure_music,global,global,yes,media|music|public_identity,common_word_stage_name,high,medium,medium,arguable,B,public figure is obvious but the token also has ordinary-word and surname meanings,good stage-name genericity case
pubfig_0011,Madonna,madonna,public_figure_music,global,global,yes,media|music|public_identity,common_word_stage_name,high,medium,medium,arguable,B,public referent is strong but the token is also a loaded common religious term,good example of fame colliding with generic meaning
pubfig_0012,Trump,trump,public_figure_politics,us,global,yes,media|politics|business,shared_family_name,high,low_medium,medium,arguable,B,name is globally salient but maps to multiple real people and business entities,tests family-brand and claimant-complexity issues
pubfig_0013,Prince,prince,public_figure_music,global,global,yes,media|music|public_identity,title_or_common_word_name,high,medium,low,likely_not_selected,,dominant musician exists in cultural memory but the token is too broad as a title and common noun for clean protocol special-casing,good example of fame losing to token breadth
pubfig_0014,Future,future,public_figure_music,us,global,yes,media|music|public_identity,title_or_common_word_name,medium,medium,low,likely_not_selected,,real artist exists but the token is far too broad as an English word,good generic-word stage-name case
pubfig_0015,Jordan,jordan,public_figure_sports,global,global,yes,sports|public_identity,shared_family_name,high,low,low,likely_not_selected,,many dominant referents and strong place-name usage make the token too overloaded,good reminder that fame alone is not enough
pubfig_0016,Michael,michael,public_figure_music,global,global,yes,media|public_identity,common_first_name,medium,low,low,likely_not_selected,,many real-world referents and extreme commonness make the token unusable as a special-case identity,tests first-name failure mode
pubfig_0017,Ye,ye,public_figure_music,us,global,yes,media|music|public_identity,rebrand_or_alias,medium,medium,low,likely_not_selected,,current referent may be obvious to some audiences but the token is extremely short and semantically weak in v1 form,tests alias and rebrand limits
pubfig_0018,Elon,elon,public_figure_business,us,global,yes,media|business|public_identity,rebrand_or_alias,medium_high,medium,low,likely_not_selected,,public referent is strong today but first-name-only form still feels too thin for protocol privilege,good founder-name shorthand case
