candidate_id,entity_id,display_name,normalized_name,script_fit,raw_primary_label,official_latin_name,normalization_notes,category_primary,category_secondary,coordination_surface,region_primary,region_scope,household_facing,public_coordination_value,source_count_total,source_count_strong,source_bucket_count,sources_present,best_global_brand_rank,best_web_rank,best_regional_rank,persistence_windows,geography_count,evidence_notes,presence_score,rank_strength_score,geographic_breadth_score,cross_context_score,persistence_score,salience_score_raw,score_version,review_confidence,proposed_tier,selection_status,review_reason,review_flags,reviewer_notes
cand_0001,ent_apple,Apple,apple,direct_v1_fit,Apple,Apple,,consumer_brand,technology,retail|devices,global,global,yes,household_brand_device_ecosystem,3,3,1,BZ25|IB24|BF25,1,,,1,3,top_ranked_across_global_brand_lists,,,,,,,seed_pilot_v1,high,S+,selected,repeated_top_global_brand_placement,,
cand_0002,ent_google,Google,google,direct_v1_fit,Google,Google,,internet_platform,search,web|search,global,global,yes,dominant_public_web_entry_point,4,4,2,BZ25|IB24|BF25|SW26,2,1,,1,3,global_brand_and_global_web_dominance,,,,,,,seed_pilot_v1,high,S+,selected,clear_global_name_with_strong_multi_context_evidence,,
cand_0003,ent_microsoft,Microsoft,microsoft,direct_v1_fit,Microsoft,Microsoft,,technology_platform,software,software|web,global,global,yes,major_public_software_and_web_identity,4,4,2,BZ25|IB24|BF25|SW26,2,29,,1,3,global_brand_with_major_platform_presence,,,,,,,seed_pilot_v1,high,S+,selected,clear_global_name_with_repeated_top_placements,,
cand_0004,ent_amazon,Amazon,amazon,direct_v1_fit,Amazon,Amazon,,internet_platform,retail,retail|web,global,global,yes,major_global_retail_and_web_identity,4,4,2,BZ25|IB24|BF25|SW26,3,16,,1,3,global_brand_and_global_web_presence,,,,,,,seed_pilot_v1,high,S+,selected,clear_global_name_with_multi_context_salience,,
cand_0005,ent_facebook,Facebook,facebook,direct_v1_fit,Facebook,Facebook,,internet_platform,social,app|web,global,global,yes,major_consumer_identity_and_social_graph,3,3,2,BZ25|IB24|SW26,6,3,,1,3,strong_global_brand_and_live_usage_signal,,,,,,,seed_pilot_v1,high,S,selected,globally_obvious_consumer_platform,,
cand_0006,ent_instagram,Instagram,instagram,direct_v1_fit,Instagram,Instagram,,internet_platform,social,app|web,global,global,yes,major_consumer_social_identity,3,3,2,BZ25|IB24|SW26,7,4,,1,3,strong_global_platform_signal,,,,,,,seed_pilot_v1,high,S,selected,globally_obvious_consumer_platform,,
cand_0007,ent_youtube,YouTube,youtube,direct_v1_fit,YouTube,YouTube,,internet_platform,media,app|web|media,global,global,yes,major_global_media_destination,2,2,2,IB24|SW26,24,2,,1,3,live_global_usage_plus_brand_support,,,,,,,seed_pilot_v1,high,S,selected,globally_obvious_media_platform,,
cand_0008,ent_nvidia,NVIDIA,nvidia,direct_v1_fit,NVIDIA,NVIDIA,,technology_brand,hardware,hardware,global,global,no,high_salience_technology_identity,2,2,1,BZ25|BF25,5,,,1,3,top_tier_technology_brand_signal,,,,,,,seed_pilot_v1,medium,S,selected,clear_top_tier_technology_name,product_power_debate,
cand_0009,ent_cocacola,Coca-Cola,cocacola,direct_v1_fit,Coca-Cola,Coca-Cola,punctuation_removed,consumer_brand,beverages,retail,global,global,yes,household_consumer_brand_identity,1,1,1,IB24,7,,,1,3,legacy_household_brand_underweighted_by_digital_sources,,,,,,,seed_pilot_v1,medium,S,selected,legacy_household_brand_clears_global_obviousness_bar,source_bias|digital_heavy,
cand_0010,ent_mcdonalds,McDonald’s,mcdonalds,direct_v1_fit,McDonald’s,McDonald's,apostrophe_removed,consumer_brand,restaurant,retail,global,global,yes,globally_recognizable_consumer_destination,2,2,1,BZ25|IB24,8,,,1,3,cross_cultural_consumer_brand_signal,,,,,,,seed_pilot_v1,medium,S,selected,clear_global_consumer_brand_identity,,
