challenge_id,display_name,normalized_name,category_primary,region_primary,region_scope,household_facing,coordination_surface,stress_pattern,public_coordination_strength,natural_buyer_clarity,capture_risk_level,provisional_expected_outcome,provisional_tier_if_selected,why_it_is_in_set,notes
met_0001,OpenAI,openai,ai_company_breakout,global,global,yes,web|ai,ai_company_breakout,high,high,high,likely_selected,B,major recent AI company with obvious buyer and unusually strong public salience for a company name,important test of company-level meteoric salience
met_0002,ChatGPT,chatgpt,ai_product_breakout,global,global,yes,web|app|ai,ai_product_breakout,high,high,high,likely_selected,A,already demonstrates that recent product brands can become globally coordination-critical very quickly,good benchmark for the rest of the slice
met_0003,Anthropic,anthropic,ai_company_breakout,global,global,no,web|ai,ai_company_breakout,medium_high,high,high,likely_selected,B,clear AI lab name with strong buyer clarity and large breakout relevance,good company-level counterpart to claude
met_0004,Perplexity,perplexity,consumer_ai_service,global,global,yes,web|ai|search,consumer_ai_service,high,high,high,likely_selected,B,strong consumer AI service with distinctive token and obvious buyer,good example of newer consumer AI salience
met_0005,Midjourney,midjourney,consumer_ai_service,global,global,yes,web|ai|creative,consumer_ai_service,medium_high,high,high,likely_selected,B,distinctive brand with strong buyer clarity and widespread awareness in AI creation workflows,tests meteoric creative-tool brands
met_0006,ElevenLabs,elevenlabs,consumer_ai_service,global,global,yes,app|ai|voice,consumer_ai_service,medium_high,high,high,likely_selected,B,strong breakout AI brand with distinctive token and obvious buyer,good newer audio/voice AI case
met_0007,DeepSeek,deepseek,ai_company_breakout,global,multi_region,yes,web|ai,ai_company_breakout,high,high,high,likely_selected,B,fast-rising AI name with official Latin-script identity and strong current coordination,important test of meteoric non-Western breakout names
met_0008,Claude,claude,ai_product_breakout,global,global,yes,web|app|ai,ai_product_breakout,high,high,medium,arguable,B,product is clearly important but token is a common human name,good test of product salience versus token weakness
met_0009,Cursor,cursor,developer_tool_breakout,global,global,no,software|developer,developer_tool_breakout,medium_high,high,medium,arguable,B,major breakout developer-tool name with obvious buyer but common-word token,good developer analog to claude
met_0010,Gemini,gemini,ai_product_breakout,global,global,yes,web|app|ai,ai_product_breakout,high,medium,medium,arguable,B,important AI product but the token is broad and tied to a large existing common-word namespace,good token-ambiguity stress test
met_0011,Copilot,copilot,ai_product_breakout,global,global,yes,web|app|ai,ai_product_breakout,high,medium,medium,arguable,B,meaningful AI product salience but token is generic and already used in multiple software contexts,tests whether product fame can outrun genericity
met_0012,Grok,grok,ai_product_breakout,global,global,yes,web|app|ai,ai_product_breakout,medium_high,high,medium,arguable,B,clear buyer and current salience but still more volatile and culturally loaded than older breakout names,good momentum-versus-stability case
met_0013,Suno,suno,consumer_ai_service,global,global,yes,app|ai|music,consumer_ai_service,medium,high,medium,arguable,B,clear breakout consumer AI brand with distinctive token but narrower overall salience,good lower-edge meteoric consumer case
met_0014,Replit,replit,developer_tool_breakout,global,global,no,web|developer,developer_tool_breakout,medium,high,medium,arguable,B,strong developer brand with unique token and clear buyer,good boundary case between meteoric and established dev platforms
met_0015,Pi,pi,ai_product_breakout,global,global,yes,app|ai,generic_token_meteoric,medium,low,low,likely_not_selected,,real product exists but the token is far too short and generic for protocol special-casing,good example of meteoric salience not overcoming token weakness
met_0016,Poe,poe,consumer_ai_service,global,global,yes,app|ai,generic_token_meteoric,medium,medium,low,likely_not_selected,,real product exists but the token is highly overloaded and not cleanly ownable,good short-token ambiguity case
met_0017,Bolt,bolt,developer_tool_breakout,global,multi_region,yes,web|developer,generic_token_meteoric,low_medium,low,low_medium,likely_not_selected,,breakout product exists but token is heavily contested across many companies and categories,good reminder that momentum is not enough
met_0018,Scale,scale,ai_company_breakout,global,global,no,software|ai,generic_token_meteoric,low_medium,medium,medium,likely_not_selected,,real company exists but the token is too broad to treat as an obvious special-case brand claim,good common-word AI company case
met_0019,Sierra,sierra,ai_company_breakout,global,global,no,software|ai,generic_token_meteoric,low,medium,low,likely_not_selected,,real AI company exists but token is highly generic and place-like,good test for common-word startup brands
met_0020,Harvey,harvey,ai_company_breakout,global,global,no,software|ai,generic_token_meteoric,low_medium,medium,low,likely_not_selected,,important legal AI company exists but token is an ordinary human name with weak exclusivity,good person-name ambiguity case
met_0021,You.com,youcom,consumer_ai_service,global,global,yes,web|ai|search,generic_token_meteoric,low_medium,medium,low,likely_not_selected,,real service exists but token feels awkward and weaker as a stable global identity,good example of weaker breakout naming quality
