challenge_id,display_name,normalized_name,category_primary,region_primary,region_scope,household_facing,coordination_surface,stress_pattern,public_coordination_strength,natural_buyer_clarity,capture_risk_level,provisional_expected_outcome,provisional_tier_if_selected,why_it_is_in_set,notes
pubop_0001,Mark Zuckerberg,markzuckerberg,public_operator_founder,global,global,no,business|technology|public_identity,global_platform_founder,high,high,high,likely_selected,A,globally obvious founder full name with clear long-run operator and very high likely hostage-risk if captured,good top-end full-name operator benchmark
pubop_0002,Jensen Huang,jensenhuang,public_operator_founder,global,global,no,business|technology|public_identity,global_platform_founder,high,high,high,likely_selected,A,globally salient technology founder full name with clear buyer and strong asymmetry if captured,good modern founder counterpart to markzuckerberg
pubop_0003,Sam Altman,samaltman,public_operator_founder,global,global,no,business|technology|public_identity,global_platform_founder,high,high,high,likely_selected,A,highly salient technology operator full name with strong current coordination and obvious buyer,good case where company and personal identity both matter
pubop_0004,Patrick Collison,patrickcollison,public_operator_founder,global,multi_region,no,business|payments|public_identity,strong_public_operator,medium_high,high,medium_high,likely_selected,B,clean founder full-name token with clear long-run operator and meaningful trust benefit,good test of broad full-name founder reservation
pubop_0005,Parker Conrad,parkerconrad,public_operator_founder,us,multi_region,no,business|software|public_identity,strong_public_operator,medium,high,medium,likely_selected,B,clear founder full-name token with obvious operator and plausible hostage-risk even without household fame,good boundary case for newer software founders
pubop_0006,Garry Tan,garrytan,public_operator_investor,us,multi_region,no,investing|technology|public_identity,strong_public_operator,medium,high,medium,likely_selected,B,distinctive investor-operator full name with clear claimant and strong long-run operator fit,good test of operator names beyond founders
pubop_0007,Tyler Cowen,tylercowen,public_operator_intellectual,us,multi_region,no,writing|economics|public_identity,public_intellectual_boundary,medium,high,low_medium,arguable,B,durable public intellectual full name with clear referent but probably lower resale asymmetry than top operator names,good calibration case for trust benefit versus monetizable upside
pubop_0008,Paul Graham,paulgraham,public_operator_investor,global,multi_region,no,writing|investing|technology|public_identity,public_intellectual_boundary,medium_high,high,medium,arguable,B,strong full-name public operator with durable identity but less obvious hostage-risk than top platform founders,good thinker-investor boundary case
pubop_0009,Reid Hoffman,reidhoffman,public_operator_investor,global,multi_region,no,investing|technology|public_identity,founder_investor_boundary,medium_high,high,medium,arguable,B,clear full-name operator with strong buyer clarity but still meaningfully below top hostage-risk cases,good investor/operator boundary case
pubop_0010,Naval Ravikant,navalravikant,public_operator_investor,global,multi_region,no,investing|media|public_identity,founder_investor_boundary,medium_high,high,medium,arguable,B,very clear full-name public identity with durable audience but still less obvious corporate hostage-risk than markzuckerberg,good modern operator-media crossover case
pubop_0011,Brian Armstrong,brianarmstrong,public_operator_founder,global,multi_region,no,business|finance|public_identity,founder_investor_boundary,medium_high,high,medium,arguable,B,clear operator full name with meaningful buyer firepower but less universal salience than top founders,good crypto-adjacent founder boundary case
pubop_0012,Peter Thiel,peterthiel,public_operator_investor,global,multi_region,no,investing|technology|public_identity,founder_investor_boundary,medium_high,high,medium,arguable,B,strong full-name public operator identity with obvious claimant but more debatable direct hostage-risk than brand-tied founders,good high-firepower investor test
pubop_0013,Morgan Housel,morganhousel,public_operator_intellectual,us,multi_region,no,writing|finance|public_identity,lower_hostage_risk_full_name,medium,high,low,likely_not_selected,,real and durable full-name writer identity but likely too low on monetizable hostage-risk for launch overlay treatment,good example of real trust benefit not always being enough
pubop_0014,Matt Levine,mattlevine,public_operator_intellectual,us,multi_region,no,writing|finance|public_identity,lower_hostage_risk_full_name,medium,high,low,likely_not_selected,,clear full-name writer identity with strong audience but probably not enough capture asymmetry to justify launch reservation,good finance-writer lower edge case
pubop_0015,Kevin Roose,kevinroose,public_operator_intellectual,us,multi_region,no,writing|media|technology|public_identity,lower_hostage_risk_full_name,medium,high,low,likely_not_selected,,real public identity but likely too low on hostage-risk and too narrow on long-run buyer pressure,good media-technology writer edge case
pubop_0016,Noah Smith,noahsmith,public_operator_intellectual,us,multi_region,no,writing|economics|public_identity,lower_hostage_risk_full_name,medium,medium_high,low,likely_not_selected,,real public voice with clear referent but probably too little capture-risk for launch treatment,good public-intellectual lower edge case
pubop_0017,Scott Galloway,scottgalloway,public_operator_intellectual,us,multi_region,no,media|business|public_identity,common_name_collision,medium_high,medium,low,likely_not_selected,,public identity is real but the full-name token is common enough and the hostage-risk weak enough that launch treatment feels less compelling,good common-full-name boundary case
pubop_0018,Andrew Sullivan,andrewsullivan,public_operator_intellectual,us,multi_region,no,writing|politics|public_identity,common_name_collision,medium,medium,low,likely_not_selected,,durable public identity exists but full-name token is not strong enough on capture asymmetry to justify overlay treatment,good classic-writer boundary case
